"year","qb","offense_play","sr_pct","epa_pct","er_pct","ed_pct","ld_pct","pass_pct","rush_pct","sack_pct","to_pct"
"1",2014,"AJ Long","Syracuse",3.47222222222222,5.55555555555556,11.8055555555556,4.86111111111112,22.9166666666667,23.6111111111111,22.9166666666667,2.77777777777778,95.1388888888889
"2",2014,"Alex McGough","Florida International",1.38888888888888,2.08333333333334,5.55555555555556,6.25,4.86111111111112,3.47222222222222,24.3055555555556,7.63888888888888,52.0833333333333
"3",2014,"Andrew Hendrix","Miami (OH)",47.9166666666667,54.1666666666667,86.8055555555556,55.5555555555556,53.4722222222222,56.9444444444444,83.3333333333333,12.5,20.1388888888889
"4",2014,"Andrew McNulty","North Texas",13.1944444444444,22.9166666666667,6.25,56.9444444444444,4.16666666666666,31.25,31.25,52.0833333333333,88.8888888888889
"5",2014,"Anthony Boone","Duke",24.3055555555556,33.3333333333333,11.1111111111111,41.6666666666667,29.8611111111111,28.4722222222222,72.9166666666667,93.75,63.1944444444444
"6",2014,"Anthony Jennings","LSU",11.1111111111111,21.5277777777778,25,15.9722222222222,36.8055555555556,24.3055555555556,31.9444444444444,10.4166666666667,50.6944444444444
"7",2014,"Anu Solomon","Arizona",35.4166666666667,51.3888888888889,36.8055555555556,66.6666666666667,30.5555555555556,64.5833333333333,59.0277777777778,31.9444444444444,81.25
"8",2014,"Austin Appleby","Purdue",4.16666666666666,6.94444444444444,2.08333333333334,27.7777777777778,2.77777777777778,8.33333333333334,43.0555555555556,76.3888888888889,30.5555555555556
"9",2014,"Austin Grammer","Middle Tennessee",54.1666666666667,47.2222222222222,67.3611111111111,38.1944444444444,61.8055555555556,38.1944444444444,80.5555555555556,24.3055555555556,25
"10",2014,"Blake Decker","UNLV",46.5277777777778,34.7222222222222,38.8888888888889,26.3888888888889,54.8611111111111,34.0277777777778,61.1111111111111,15.9722222222222,9.02777777777778
"11",2014,"Blake Sims","Alabama",98.6111111111111,97.2222222222222,97.9166666666667,79.1666666666667,98.6111111111111,96.5277777777778,72.2222222222222,90.2777777777778,20.8333333333333
"12",2014,"Bo Wallace","Ole Miss",36.1111111111111,43.0555555555556,44.4444444444444,59.7222222222222,18.75,68.75,0,20.8333333333333,27.7777777777778
"13",2014,"Brad Kaaya","Miami",40.2777777777778,60.4166666666667,74.3055555555556,52.7777777777778,68.0555555555556,67.3611111111111,20.8333333333333,62.5,16.6666666666667
"14",2014,"Brandon Allen","Arkansas",50,68.0555555555556,78.4722222222222,52.0833333333333,78.4722222222222,76.3888888888889,13.8888888888889,88.1944444444444,77.0833333333333
"15",2014,"Brandon Bridge","South Alabama",22.2222222222222,16.6666666666667,46.5277777777778,24.3055555555556,9.02777777777778,14.5833333333333,26.3888888888889,18.75,29.8611111111111
"16",2014,"Brandon Doughty","Western Kentucky",95.8333333333333,97.9166666666667,95.8333333333333,93.0555555555556,95.8333333333333,98.6111111111111,40.2777777777778,89.5833333333333,14.5833333333333
"17",2014,"Brandon Silvers","Troy",37.8472222222222,36.8055555555556,22.2222222222222,29.1666666666667,62.5,43.0555555555556,45.8333333333333,27.0833333333333,79.8611111111111
"18",2014,"Brett Hundley","UCLA",81.9444444444444,74.3055555555556,50,76.3888888888889,72.9166666666667,71.5277777777778,88.1944444444444,13.1944444444444,57.6388888888889
"19",2014,"Brian Burrell","Fresno State",32.6388888888889,26.3888888888889,29.1666666666667,20.1388888888889,45.1388888888889,11.8055555555556,77.7777777777778,19.4444444444444,3.47222222222222
"20",2014,"Bryce Petty","Baylor",79.1666666666667,80.5555555555556,53.4722222222222,97.2222222222222,18.0555555555556,92.3611111111111,47.9166666666667,60.4166666666667,61.1111111111111
"21",2014,"C.J. Brown","Maryland",27.7777777777778,20.1388888888889,10.4166666666667,20.8333333333333,25.6944444444444,6.25,79.8611111111111,9.72222222222222,53.4722222222222
"22",2014,"Chad Voytik","Pittsburgh",88.8888888888889,65.2777777777778,76.3888888888889,70.1388888888889,56.25,63.8888888888889,57.6388888888889,33.3333333333333,61.8055555555556
"23",2014,"Christian Hackenberg","Penn State",25.6944444444444,6.25,4.16666666666666,4.16666666666666,29.1666666666667,0,10.4166666666667,14.5833333333333,1.38888888888888
"24",2014,"Christian Stewart","BYU",49.3055555555556,72.9166666666667,75,61.1111111111111,80.5555555555556,77.0833333333333,34.7222222222222,49.3055555555556,56.9444444444444
"25",2014,"Clint Trickett","West Virginia",56.25,53.4722222222222,63.1944444444444,72.2222222222222,31.25,60.4166666666667,54.8611111111111,52.7777777777778,34.7222222222222
"26",2014,"Cody Clements","UAB",55.5555555555556,55.5555555555556,69.4444444444444,70.8333333333333,40.9722222222222,59.7222222222222,44.4444444444444,16.6666666666667,52.7777777777778
"27",2014,"Cody Fajardo","Nevada",56.9444444444444,61.1111111111111,66.6666666666667,47.9166666666667,74.3055555555556,43.75,97.2222222222222,65.9722222222222,24.3055555555556
"28",2014,"Cody Kessler","USC",81.25,96.5277777777778,93.0555555555556,81.25,97.9166666666667,97.9166666666667,38.8888888888889,32.6388888888889,80.5555555555556
"29",2014,"Cody Sokol","Louisiana Tech",66.6666666666667,75.6944444444444,52.0833333333333,80.5555555555556,63.8888888888889,85.4166666666667,27.7777777777778,79.8611111111111,36.1111111111111
"30",2014,"Colby Kirkegaard","Wyoming",36.8055555555556,43.75,73.6111111111111,34.7222222222222,49.3055555555556,45.8333333333333,58.3333333333333,4.16666666666666,22.9166666666667
