"year","qb","offense_play","passes","ed_epa","ld_epa","pass_epa","rush_epa","sr","er","sack_rate","epa_to","epa_play","want"
"1",2014,"A. Appleby","Purdue",268,-0.0466539154163014,-0.44680268575143,-60.8189869125726,3.45422785542091,0.35258358662614,0.21580547112462,0.0428571428571429,-57.8914011294529,-0.174360969778577,1
"2",2014,"A. Boone","Duke",447,0.00767878348858931,-0.0738604899349735,-22.7193146283032,13.6411378505471,0.399628252788104,0.239776951672863,0.0261437908496733,-36.6239523965185,-0.0168739345311452,1
"3",2014,"A. Grammer","Middle Tennessee",303,0.0020794365600473,0.100163175280658,-8.39241169393238,21.1193513784258,0.435835351089588,0.305084745762712,0.0733944954128441,-61.2668539364155,0.0308158345871511,1
"4",2014,"A. Hendrix","Miami (OH)",437,0.05913059551655,0.0812077115538474,15.8258138222714,22.6314044361911,0.427609427609428,0.324915824915825,0.0895833333333334,-62.719356324191,0.0647427916809135,1
"5",2014,"A. Jennings","LSU",222,-0.109218425673877,-0.0428126610739565,-28.3779595418786,0.570193879889375,0.36969696969697,0.263636363636364,0.0938775510204082,-45.1120904193442,-0.0842659565514825,1
"6",2014,"A. Long","Syracuse",159,-0.251054056430336,0.0786976831795302,-28.403312964487,-0.0588445142206999,0.362745098039216,0.254901960784314,0.0914285714285713,-23.5790143497136,-0.139520379797587,1
"7",2014,"A. Mcgough","Florida International",220,-0.18110813352496,-0.296978514454196,-66.7355633603862,-1.03102362934621,0.342019543973941,0.228013029315961,0.0983606557377049,-44.3909116763284,-0.220738068370464,1
"8",2014,"A. Mcnulty","North Texas",183,0.0656416927186942,-0.376841591981137,-17.9487902984302,0.154324606174007,0.375565610859728,0.230769230769231,0.0567010309278351,-22.3423846410859,-0.0805179443088518,1
"9",2014,"A. Robinson","UTSA",144,-0.256322289721833,-0.658551165142219,-79.0067707332767,-0.196820141467732,0.29951690821256,0.202898550724638,0.0828025477707006,-36.6726116153245,-0.382626042873162,1
"10",2014,"A. Solomon","Arizona",535,0.099574043809357,-0.0660591423920575,29.3314724578875,7.73479656432848,0.416417910447761,0.277611940298507,0.0663176265270507,-25.8830283088715,0.0553227895853969,1
"11",2014,"B. Allen","Arkansas",338,0.0527123295034308,0.21009244631526,47.7863429518873,-6.98148232142209,0.428947368421053,0.313157894736842,0.0342857142857143,-29.1911323055224,0.107381212185435,1
"12",2014,"B. Bridge","South Alabama",274,-0.0606614364888346,-0.246233384960128,-41.0158843682777,-0.853240285588161,0.390243902439024,0.287262872628726,0.0774410774410774,-57.9373515957806,-0.113466462476601,1
"13",2014,"B. Burrell","Fresno State",421,-0.0813850077515499,0.0191672813429641,-45.143162955122,18.2985796801117,0.411320754716981,0.269811320754717,0.0767543859649123,-89.581232501393,-0.0506501571226608,1
"14",2014,"B. Decker","UNLV",391,-0.0485265968132063,0.0861653655989233,-12.8251706411171,8.31710213836598,0.424581005586592,0.281191806331471,0.08,-78.4746340342646,-0.00839491341294427,1
"15",2014,"B. Doughty","Western Kentucky",535,0.242368115242156,0.498561408078069,172.159554536077,2.84062978754258,0.5043630017452,0.349040139616056,0.0325497287522604,-65.3247489671433,0.305410443845758,1
"16",2014,"B. Frohnapfel","Massachusetts",428,0.0785226496135239,0.121847246373501,45.8181258378214,-3.01220881620184,0.407249466950959,0.307036247334755,0.048888888888889,-58.1827377517438,0.0912706119863956,1
"17",2014,"B. Hundley","UCLA",361,0.132551902557159,0.160003238253342,42.6735257652125,28.5562256267585,0.479371316306483,0.288801571709234,0.0883838383838384,-40.3486220809205,0.139940572479314,1
"18",2014,"B. Kaaya","Miami",377,0.0531224056695027,0.145710653443308,34.8277622187769,-2.34830884321503,0.418316831683168,0.309405940594059,0.0503778337531486,-64.372957821906,0.080394686573173,1
"19",2014,"B. Petty","Baylor",425,0.268692902455414,-0.148295817508323,79.1982661647175,5.17413828716548,0.474409448818897,0.293307086614173,0.0513392857142857,-38.2358267023182,0.166087410338352,1
"20",2014,"B. Silvers","Troy",267,-0.0398272482907461,0.10365909779194,-3.36984866339734,3.96280122545831,0.416893732970027,0.258855585831063,0.0696864111498258,-27.0311980124284,0.00161567455602448,1
"21",2014,"B. Sims","Alabama",387,0.152819552502067,0.610881219468518,119.024832557081,13.2644971584623,0.523404255319149,0.351063829787234,0.0325,-62.3289877543121,0.28146665896924,1
"22",2014,"B. Wallace","Ole Miss",344,0.0772684365668508,-0.135149367303248,37.9969979846545,-30.3769054132835,0.416666666666667,0.285087719298246,0.0752688172043011,-59.0387387305289,0.0167107293231821,1
"23",2014,"C. Brown","Maryland",336,-0.0799726362987472,-0.10115326264726,-63.1233570904954,20.9455471198738,0.404907975460123,0.239263803680982,0.0943396226415094,-44.0188025338834,-0.0862531901239708,1
"24",2014,"C. Clements","UAB",246,0.110406562547018,-0.00789674451202381,20.0777784630938,3.79254639562764,0.441441441441441,0.306306306306306,0.0786516853932585,-44.3026271624437,0.0716826572333978,1
"25",2014,"C. Cook","Michigan State",364,0.217031645182974,0.30225950466065,99.9601747478269,0.931896156772212,0.481927710843374,0.342168674698795,0.0319148936170213,-47.6563247695481,0.243113423866504,1
"26",2014,"C. Fajardo","Nevada",369,0.0419713018016096,0.171517661284586,-3.26180199511542,45.5095999743829,0.442528735632184,0.304597701149425,0.0489690721649485,-61.3554061807408,0.0809344788874855,1
"27",2014,"C. Hackenberg","Penn State",474,-0.221458555761475,-0.0751518138390328,-91.5567004865671,-8.25631716608367,0.4,0.221238938053097,0.0831721470019341,-103.478251883237,-0.17666020823478,1
"28",2014,"C. Halliday","Washington State",525,0.112903484447325,0.105817001060164,67.8071067620764,-6.17981921858938,0.46028880866426,0.299638989169675,0.0366972477064221,-55.199650171227,0.111240591233731,1
"29",2014,"C. Kessler","USC",451,0.164530438157976,0.568306511320139,137.87341772372,2.71518637324271,0.478260869565217,0.337944664031621,0.0662525879917184,-26.9220511236425,0.277843091100717,1
"30",2014,"C. Kirkegaard","Wyoming",351,-0.00744992784471368,0.0619118908131792,-0.395524445861067,7.61867805485227,0.416861826697892,0.309133489461358,0.106870229007634,-61.7542008234588,0.0169160506065368,1
"31",2014,"C. Miles","Washington",327,0.0285656352936511,0.217758502858978,30.8728798059988,9.27179369664834,0.442696629213483,0.289887640449438,0.0603448275862069,-44.5899729810382,0.0902127494441508,1
"32",2014,"C. Reardon","Kent State",394,-0.035343134615832,-0.113314232828735,-23.3297434718675,-2.07985625824979,0.404867256637168,0.269911504424779,0.0247524752475248,-69.7349493430073,-0.0562159286064542,1
"33",2014,"C. Rush","Central Michigan",381,0.238400460369933,-0.00260720810006478,69.8659719023839,3.01531887537805,0.496470588235294,0.334117647058824,0.0638820638820638,-81.0687099627106,0.171485390065322,1
